제목,신문사,바로가기
"한국 페미니즘 공론장 된 트위터...""여성인권 위해 지원 강화할 것""",여성신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=310&aid=0000079479
쿠팡은 ‘쿠팡페이’를 ‘한국판 알리페이’로 키울까,블로터,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=293&aid=0000029540
"인기협, '데이터경제를 위한 개인정보보호법 개선' 좌담회",이데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=018&aid=0004685374
"카카오게임즈 '테라 클래식', 새던전 '비경' 업데이트",ZDNet Korea,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002193476
"'얼굴' 바꾼 엔씨…""혁신의 가치 담고 브랜드 가능성 확장""",뉴스1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=421&aid=0004745882
"UNIST-LG전자, 산학협력 강화",아이뉴스24,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=031&aid=0000546895
"라그나로크 오리진, 이용자 폭주로 신 서버 추가",블로터,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=293&aid=0000029539
"[이슈] 카스온라인, 신규 에픽 무기 '보이드 어벤저' 업데이트",데일리e스포츠,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=347&aid=0000145012
"'포트리스 배틀로얄', 9일만에 사전등록 100만 돌파…'벌써부터 인기 폭발'",엑스포츠뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=311&aid=0001173354
中企 혁신기술 스마트시티 국가시범도시 적용한다,ZDNet Korea,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002193475
"상상인저축은행 뱅뱅뱅, 8일 만에 예·적금 70억 유치",ZDNet Korea,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002193474
"""민간부문 규제 과도… 데이터3법 개선을""",파이낸셜뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=014&aid=0004458688
"오라클, 하이브리드 클라우드 정조준",파이낸셜뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=014&aid=0004458687
삼성 새 전략폰 코드명 '갤럭시 U',파이낸셜뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=014&aid=0004458686
"[SS현장] ""기지국 지진감시 안전타워 되다"" SKT, ‘지진관측 네트워크’ 구축",스포츠서울,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=468&aid=0000677676
"[이슈] 넷마블, 'A3: 스틸얼라이브', '분쟁지 장비 던전' 업데이트",데일리e스포츠,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=347&aid=0000145011
퀄컴 '스냅드래곤 865 플러스' 모바일 플랫폼 공개,파이낸셜뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=014&aid=0004458685
"LG전자, 중저가폰으로 글로벌 공략 강화",파이낸셜뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=014&aid=0004458684
"SKT, 기지국 활용해 지진 관측",파이낸셜뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=014&aid=0004458683
"네이버, 보험판매회사 설립…쇼핑검색시 노출 광고도 확대",한국경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=015&aid=0004377417
구글 코리아 법인세 5천억원 납부…조세심판원 통해 불복,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=001&aid=0011736124
"네이버, 보험도 한다…'NF보험서비스' 법인 등록 확인",블로터,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=293&aid=0000029538
"[TF현장] SK텔레콤, 지진재해 대응 위한 '안전 타워' 만든다",더팩트,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=629&aid=0000032548
"코로나19로 버려지는 마스크 월 1290억개 ""고래 생명 위혐해""",동아사이언스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=584&aid=0000009492
"4주년 맞은 카카오헤어샵, 2기 도약 선언…원종석 신임 대표 선임",ZDNet Korea,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002193473
"SKT, 기지국·대리점 지진관측소로 활용",한국경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=015&aid=0004377411
코로나 재택근무가 실리콘밸리 미친 집값 잡았다,조선일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=023&aid=0003545341
"LG, 실속폰 'K시리즈'로 글로벌 공략",한국경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=015&aid=0004377409
"NHN ""미래 모빌리티 플랫폼 개발""",한국경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=015&aid=0004377406
'8개의 미래·한국판 SF'는 어떻게 '웨이브'와 손 잡았나,블로터,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=293&aid=0000029537
"법원, 메디톡스 집행정지 신청 기각…""품목허가 취소 효력""",조선비즈,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=366&aid=0000552645
TRPG ‘고려:모험의전당’ 텀블벅 크라우드 펀딩,매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612407
‘아이에스동서 부산오픈’ ‘U+골프’로 전체 관람,이데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=018&aid=0004685340
‘라그나로크 오리진’ 서버 추가 개설…기존 서버 용량도 확장,매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612406
"현대모비스, 국산 협업툴 '플로우' 전사 도입",아이뉴스24,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=031&aid=0000546892
[핫클립]도심 질주본능 '야마하' 전기바이크,아이뉴스24,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=031&aid=0000546891
"현대해상-서울핀테크랩, 스타트업 지원 협약",ZDNet Korea,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002193472
‘서든어택’ 여름 캠페인 ‘찐 업데이트’ 1탄 ‘시즌3 호크’ 적용,매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612405
"룽투코리아, 모바일 MMORPG ‘용의기원’ 신규 콘텐츠 업데이트",매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612404
"'규제냐 진흥이냐' 게임법 개정 속도↑, 업계에 어떤 영향을 미칠까",동아일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=020&aid=0003296854
"일회용 ID 기반 간편인증 아이루키, 다수 공공기관서 러브콜",디지털데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=138&aid=0002088469
글로벌 기업 공세 이겨낸 시큐아이··· 국내 네트워크 방화벽 시장점유율 1위,디지털데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=138&aid=0002088468
"한미약품, 혈행개선 건강기능식품 `오메가3 맥스` 출시",매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612401
"[이슈] 손오공, 응원 릴레이 '덕분에 챌린지' 동참",데일리e스포츠,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=347&aid=0000145010
"NHN, 코드42·아이나비시스템즈와 미래 모빌리티 플랫폼 개발 MOU 체결",파이낸셜뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=014&aid=0004458654
하나손보·카카오 출격 준비…‘디지털 보험 시장’ 커진다,ZDNet Korea,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002193471
"[이슈] 데스티니 차일드, 신규 레이드 추가 및 복날 이벤트 진행",데일리e스포츠,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=347&aid=0000145007
"네이버 제페토, 버츄얼 미술관 서비스 시작",ZDNet Korea,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002193470
'라그나로크 오리진' 추가 서버 개설…기존 서버 용량도 확장,아이뉴스24,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=031&aid=0000546888
카카오 계열사 97개 한달에 한번꼴 M&A,매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612392
"[이슈] 올엠 '크리티카', 신규 전직 '플레임 스트라이커' 업데이트",데일리e스포츠,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=347&aid=0000145004
"오늘의선물, 선물 정기 구독 서비스 출시",ZDNet Korea,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002193469
"KISA ""비대면 경제 도래...디지털 화폐, 전국 도입될 것""",매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612386
"'코로나 보릿고개' 넘은 삼성·LG, 3분기가 변곡점",ZDNet Korea,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002193468
"아이덴티티게임즈, '드래곤네스트' 새 의뢰 추가",더팩트,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=629&aid=0000032542
"[이슈] 라이엇 게임즈, '발로란트' PC방 미션 달성 이벤트 진행",데일리e스포츠,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=347&aid=0000144999
"카카오게임즈 ‘테라 클래식’, 신규 던전 ‘비경’ 업데이트",OSEN,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=109&aid=0004238380
"""케이블서 방뺀다""는 CJ, 유튜브 유료채널 가동",한국경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=015&aid=0004377327
"페이스북, 트럼프 '비선 참모' 계정 무더기 삭제",뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=003&aid=0009959746
"출시임박 '걸카페건', 타이틀곡 뮤직비디오 2차 티저영상 공개",엑스포츠뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=311&aid=0001173316
"라그나로크 오리진, ‘하이프리스트’, ‘스나이퍼’ 코스프레 화보 공개",ZDNet Korea,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002193467
민주당 방통위원은 김현 전 의원..내일 최고위 결정,이데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=018&aid=0004685302
"블루폰, 갤럭시노트20 출시일 8월 소식에 노트9·10 가격 하락세",디지털타임스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=029&aid=0002609931
"[이슈] 던전앤파이터, 남프리스트 '진 각성' 업데이트",데일리e스포츠,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=347&aid=0000144997
'의대 정원 확대'도 포퓰리즘이라는 의협,서울경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0003766087
"[단독] LGU+, ‘갤럭시노트20’ 전용색상 ‘핑크’ 모델 출시",데일리안,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=119&aid=0002413777
"""피싱 공격, 메일 내 링크보다 첨부파일이 압도적""",아이뉴스24,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=031&aid=0000546882
"사업 변곡점마다 빅딜로 폭풍성장…카카오, 시총 30조 뚫었다",매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612319
[DD퇴근길] 이통사 불법 보조금 고무줄 징계 논란,디지털데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=138&aid=0002088466
김치녀·개저씨·한남충…혐오표현 막을 법 없나요,머니투데이,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=008&aid=0004437694
계열사 97곳…`kakao` 이름 쓰는 회사는 단 15곳,매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612318
"쇼핑 홍은택 , 핀테크 류영준·윤호영, 콘텐츠 김성수·이진수…카카오 움직이는 키맨들",매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612317
"인텔 썬더볼트4, 이전 규격보다 빠르지 않다",아이뉴스24,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=031&aid=0000546881
"정부는 5G 투자 독려, 통신사는 세제감면 요구",ZDNet Korea,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002193466
"[이슈] 라그나로크 오리진, 에이크라운 코스프레 화보 공개",데일리e스포츠,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=347&aid=0000144996
"모바일 MMORPG ‘리니지2 레볼루션’, 첫 확장팩 사전등록 실시",OSEN,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=109&aid=0004238376
'세월호 북한기획?·5.18 폄하발언' 유튜브 영상…방심위 '접속차단',아이뉴스24,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=031&aid=0000546879
"화웨이, 2019 지속가능경영보고서 발간",아이뉴스24,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=031&aid=0000546878
미숙아 동맥관열림증 '수액 조절 보존치료'가 뜬다,서울경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0003766078
"[이슈] 대세 모바일게임 '소년명장', 'GM의 실험실' 이벤트 시작",데일리e스포츠,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=347&aid=0000144995
"[이슈] 삼국지 모바일게임 '삼국지혈전', 영토 전쟁 콘셉트 '국가전' 인기 폭발",데일리e스포츠,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=347&aid=0000144994
코로나19 치료제·백신 개발에 추경예산 1천936억원 투입,아이뉴스24,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=031&aid=0000546877
"지니뮤직, 부활 김태원과 싱어송라이터 발굴 나서",일간스포츠,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=241&aid=0003037129
AI전화 등장...통화 내용 손쉽게 텍스트로 저장,ZDNet Korea,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002193465
국민포털보다 국민메신저...네이버보다 카톡 많이 쓴다,서울경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0003766070
"롤스로이스, ‘레이스 크립토스 컬렉션’ 공개…전세계 50대 한정",부산일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=082&aid=0001014712
"한성모터스, 여름맞이 7월 프로모션 진행",부산일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=082&aid=0001014711
"'발로란트', 오는 10일부터 PC방 미션 달성시 '다양한 총기 스킨 지급'",엑스포츠뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=311&aid=0001173302
"이수진 ""제2의 손정우 막자""…'특금법 세미나' 개최",이데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=018&aid=0004685273
"UNIST-LG전자, 산학협력 강화 협약 체결…5개 분야 공동 연구",연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=001&aid=0011735948
"LGU+ ""호캉스하면서 VR 즐기세요!""",서울경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0003766066
`제페토에 다 빈치 떴다` 르네상스 작품 69점 구현…15만명 방문해,매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004612274
"대전지법, '메디톡신' 품목허가 취소처분 집행정지 요청 기각",서울경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0003766062
